grid_id,imp_percent,imp_score,flood_score,greenscore,greenview,treeestima,stormwater_managed,overall_score
538,93.66385306,0,3,2,6.697982337,315,239400,2
539,84.0030474,0,3,3,10.19683689,405,307800,2
540,31.70926247,4,3,3,10.64875631,315,239400,3
541,79.94939894,2,1,5,24.69133213,953,724280,3
542,97.41860403,0,1,3,11.3268239,543,412680,1
543,95.06102248,0,3,3,12.09369531,434,329840,2
544,90.13785759,0,3,4,15.4570011,489,371640,2
545,95.12894163,0,3,2,8.249997736,364,276640,2
546,88.5449771,0,3,4,13.89416667,179,136040,2
547,32.17544264,4,1,5,27.40446839,575,437000,3
548,0.748653309,5,0,0,0,0,0,2
549,44.13263504,4,1,5,18.98645833,15,11400,3
550,87.52019346,0,3,2,8.6915,427,324520,2
551,88.47756293,0,3,3,10.43945901,307,233320,2
552,83.12063139,0,3,5,22.42897246,980,744800,3
553,89.88935337,0,1,4,13.49662879,404,307040,2
554,61.74804637,3,3,3,10.88540365,192,145920,3
555,91.06547003,0,3,4,17.53240942,323,245480,2
556,96.09993653,0,3,2,8.413344595,348,264480,2
557,98.76173432,0,1,2,4.521318824,261,198360,1
558,93.21152552,0,3,4,13.68329728,308,234080,2
559,,0,0,0,0,0,0,0
560,40.87012102,4,0,0,0,0,0,1
561,91.77002918,0,3,3,11.88612083,537,408120,2
562,73.41152392,2,3,5,23.49860656,1073,815480,3
563,84.19929838,0,1,0,0,0,0,0
564,81.43782696,0,0,0,0,0,0,0
565,,0,5,0,0,0,0,2
566,94.89134514,0,3,4,15.00318419,555,421800,2
567,24.04158421,5,0,4,15.72858696,583,443080,3
568,,0,0,0,0,0,0,0
569,45.55432995,4,3,0,0,0,0,2
570,6.486300191,5,1,0,0,0,0,2
571,53.79469074,3,3,5,29.59184722,1520,1155200,4
572,93.44472288,0,0,2,8.040290948,225,171000,1
573,90.62954707,0,3,4,14.03937047,544,413440,2
574,50.46711196,3,1,0,0,0,0,1
575,90.93593304,0,3,4,13.86528819,355,269800,2
576,96.5204406,0,0,3,11.52121212,324,246240,1
577,,0,4,0,0,0,0,1
578,100,0,0,2,6.57828125,15,11400,1
579,90.70950104,0,3,2,9.138299242,435,330600,2
580,85.30951629,0,0,3,12.08405646,743,564680,1
581,95.62001328,0,3,2,7.611714221,347,263720,2
582,58.61622854,3,0,3,11.40298611,339,257640,2
583,89.0799844,0,3,4,13.55068452,411,312360,2
584,93.19523339,0,3,2,9.667212838,321,243960,2
585,100,0,3,0,0,0,0,1
586,95.58482747,0,3,3,12.31687996,245,186200,2
587,56.86043429,3,0,4,15.91034375,805,611800,2
588,88.02118504,0,3,5,24.52351376,1023,777480,3
589,68.04638189,2,3,4,16.95514633,1147,871720,3
590,93.02404677,0,3,3,10.0067455,361,274360,2
591,68.56003181,2,0,5,17.9428125,275,209000,2
592,71.50733045,2,1,5,21.926875,672,510720,3
593,,0,4,0,0,0,0,1
594,91.77908655,0,3,2,9.147432065,207,157320,2
595,28.13485742,5,5,0,0,0,0,3
596,91.0898373,0,3,2,9.673498563,273,207480,2
597,92.63363929,0,1,3,9.81703125,198,150480,1
598,92.93389491,0,1,2,9.121160714,495,376200,1
599,87.63814306,0,1,4,13.75652778,144,109440,2
600,,0,5,0,0,0,0,2
601,94.07008301,0,3,4,13.52243659,273,207480,2
602,87.0172384,0,1,4,16.88334936,343,260680,2
603,,0,4,0,0,0,0,1
604,,0,0,0,0,0,0,0
605,99.11537479,0,0,5,27.15661458,39,29640,2
606,2.630672076,5,4,4,13.48041667,54,41040,4
607,90.4576734,0,3,5,18.04643229,59,44840,3
608,89.14914651,0,1,5,23.29624783,835,634600,2
609,93.06823692,0,0,2,8.239391121,711,540360,1
610,,0,5,0,0,0,0,2
611,80.35758156,0,3,5,27.37326823,313,237880,3
612,86.12079774,0,3,3,9.987056548,308,234080,2
613,64.28298262,3,3,4,13.92288434,311,236360,3
614,92.73511271,0,3,3,13.25561343,427,324520,2
615,84.29291604,0,3,3,11.46274926,282,214320,2
616,91.39003383,0,3,3,10.21270196,459,348840,2
617,74.56397084,2,0,5,26.26514178,684,519840,2
618,84.32587973,0,3,2,9.492566288,224,170240,2
619,43.58220268,4,0,2,8.080988372,378,287280,2
620,90.46658874,0,3,4,16.52388095,480,364800,2
621,96.94534093,0,1,2,5.751622596,159,120840,1
622,76.10869952,2,3,4,17.05786343,608,462080,3
623,97.61656648,0,3,2,7.884700255,405,307800,2
624,0.640621408,5,3,0,0,0,0,3
625,98.81621087,0,0,2,8.380801282,114,86640,1
626,68.83700457,2,0,0,0,0,0,1
627,95.69842166,0,3,2,9.761051587,411,312360,2
628,72.67337251,2,1,3,11.01194196,150,114000,2
629,93.40011136,0,1,3,10.34070383,378,287280,1
630,87.90531253,0,3,3,10.77464892,276,209760,2
631,82.48378367,0,3,2,8.495729167,345,262200,2
632,91.47225921,0,3,3,9.961841755,398,302480,2
633,89.02652103,0,0,4,16.58638997,435,330600,1
634,87.36016928,0,1,5,24.98932566,354,269040,2
635,65.18578288,2,3,5,18.25774306,80,60800,3
636,40.63622182,4,0,2,4.943844004,222,168720,2
637,44.99295503,4,0,5,39.2331901,222,168720,3
638,89.72241732,0,0,4,17.16113715,167,126920,1
639,91.33507534,0,3,5,20.09034314,264,200640,3
640,71.03598687,2,1,5,24.15084978,671,509960,3
641,81.86352153,0,3,5,21.94846014,379,288040,3
642,59.93027258,3,0,2,9.610641957,800,608000,2
643,76.53432172,2,0,0,0,0,0,1
644,42.15305738,4,0,3,12.69663194,36,27360,2
645,75.16197848,2,0,0,0,0,0,1
646,87.10773614,0,3,3,11.94359623,239,181640,2
