FID,Join_Count,TARGET_FID,Id,Shape_Leng,Shape_Area,GeoID,FLD_AR_ID,FLD_ZONE,FLOODWAY,SFHA_TF,STATIC_BFE,V_DATUM,DEPTH,LEN_UNIT,VELOCITY,VEL_UNIT,AR_REVERT,BFE_REVERT,DEP_REVERT,SOURCE_CIT,flood_score
183,2,184,0,2543.333184,389702.474,184,690,AE, ,T,10,NAVD88,-9999,FEET,-9999, , ,-9999,-9999,STUDY1,0
184,3,185,0,2721.468967,450465.3712,185,296,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
185,3,186,0,2721.46831,450465.1845,186,442,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
186,1,187,0,2721.46831,450465.1845,187,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
187,1,188,0,2721.46831,450465.1845,188,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
188,1,189,0,2721.46831,450465.1845,189,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
189,4,190,0,2721.46831,450465.1845,190,328,0.2 PCT ANNUAL CHANCE FLOOD HAZARD, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,1
190,1,191,0,2721.46831,450465.1845,191,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
191,1,192,0,1404.395747,83631.24928,192,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
192,1,193,0,2721.46831,450465.1845,193,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
193,1,194,0,2721.468967,450465.4443,194,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
194,1,195,0,2721.46831,450465.1845,195,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
195,1,196,0,2686.989712,448367.4283,196,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
196,1,197,0,2721.46831,450465.1845,197,726,X, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,3
197,1,198,0,2721.46831,450465.1845,198,698,AREA NOT INCLUDED, ,F,-9999, ,-9999, ,-9999, , ,-9999,-9999,STUDY1,0
